Parent ASIN,Child ASIN,Title,SKU,Sessions - Total,Sessions - Total - B2B,Conversion Rate - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page View Percentage - Total,Page View Percentage - Total - B2B,Buy Box Percentage,Buy Box Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B0D91YLTXG,B0D5D5KMLZ,"Linoroso Magnetic Bottle Opener Pop Can Opener for Refrigerator, Beer Bottle Opener and Soda Can Opener with Cap Catcher, Portable Beer Opener for Bartender, Home, Restaurant, Bar Tools, 4 Pack, Green",LON11-G,21,2,0.04%,0.25%,24,2,0.04%,0.19%,100.00%,100.00%,2,0,9.52%,0.00%,US$25.88,US$0.00,2,0
B085DGDB5V,B085DGDB5V,"linoroso Cleaver Knife 7.5 inch Meat and Vegetable Chinese Cleaver Kitchen Chef Knife, German High Carbon Stainless Steel Butcher Knife with Full Tang Ergonomic Handle for Home Kitchen and Restaurant",PCF10,22,1,0.05%,0.13%,25,1,0.04%,0.09%,90.48%,100.00%,1,0,4.55%,0.00%,US$29.04,US$0.00,1,0
B08QN2HZXF,B08QMKJBNV,"Linoroso Cutting Boards for Kitchen with Defrosting Tray Set of 3, Dishwasher Safe Plastic Cutting Board with Deep Juice Grooves, Non-Slip Durable Chopping Boards for Meat, Veggies, Fruits - Green",LCB007,26,0,0.06%,0.00%,28,0,0.04%,0.00%,100.00%,0.00%,1,0,3.85%,0.00%,US$25.99,US$0.00,1,0
B09DNY86X7,B098JQQXZP,"Linoroso Acacia Wood Cheese Board, Reversible Round (12inch) Charcuterie Board with Juice Groove",LCB03,"3,889",96,8.31%,12.09%,"5,266",121,8.20%,11.30%,99.82%,100.00%,1,0,0.03%,0.00%,US$30.95,US$0.00,1,0
B0D4VQK8GH,B0C9PPT295,"Linoroso Swivel Vegetable Y-Peeler, Classic Euro Peeler Potato Peelers Kitchen, Japanese Stainless Steel Veggie Peeler with Comfortable Handle, Dishwasher Safe Kitchen Food Peelers for Peeling,Black",LPS01-B,19,2,0.04%,0.25%,19,2,0.03%,0.19%,100.00%,100.00%,1,0,5.26%,0.00%,US$5.59,US$0.00,1,0
B0D4VQK8GH,B0C9PRYWDX,"Linoroso Swivel Vegetable Y-Peeler, Classic Euro Peeler Potato Peelers Kitchen, Japanese Stainless Steel Veggie Peeler with Comfortable Handle, Dishwasher Safe Kitchen Food Peelers for Peeling,Green",LPS01-G,16,0,0.03%,0.00%,17,0,0.03%,0.00%,100.00%,0.00%,1,0,6.25%,0.00%,US$5.59,US$0.00,1,0
B0D4VQK8GH,B0C9PS1S46,"Linoroso Julienne Y-Peeler, Classic Vegetable Peelers Euro Peeler for Kitchen, Japanese Stainless Steel Carrot Peeler with Comfortable Handle, Dishwasher Safe Kitchen Food Peelers for Peeling, Green",LPS02-G,16,0,0.03%,0.00%,25,0,0.04%,0.00%,100.00%,0.00%,1,0,6.25%,0.00%,US$7.99,US$0.00,1,0
B0D4Z2FP2V,B0C9Q3WHW8,"Linoroso Swivel Vegetable Peeler, Classic Euro Peeler Potato Peelers for Kitchen, Japanese Stainless Steel Veggie Peeler with Comfortable Handle, Dishwasher Safe Kitchen Food Peelers for Peeling,Green",LPS04-G,5,1,0.01%,0.13%,7,1,0.01%,0.09%,100.00%,100.00%,2,2,40.00%,200.00%,US$21.98,US$21.98,1,1
B0C9QLKSFP,B0C9Q8SYZ7,"Linoroso 2 Pieces Vegetable Peeler Set with Straight Peeler and Serrated Peeler, Dishwasher Safe Classic Euro Fruit Peeler for Kitchen, Potato Peelers for Peeling veggie and Food, Black",LPS11-B,9,0,0.02%,0.00%,9,0,0.01%,0.00%,100.00%,0.00%,1,0,11.11%,0.00%,US$9.99,US$0.00,1,0
B0C9QLKSFP,B0C9Q99QSW,"Linoroso 3 Pieces Vegetable Y-Peeler Set with Straight Peeler, Serrated Peeler and Julienne Peeler, Dishwasher Safe Classic Fruit Peeler for Kitchen, Potato Peelers for Peeling veggie and Food, Black",LPS12-B,7,0,0.01%,0.00%,10,0,0.02%,0.00%,100.00%,0.00%,1,0,14.29%,0.00%,US$7.99,US$0.00,1,0
B0C9QLKSFP,B0C9QBZ7P3,"Linoroso 2 Pieces Vegetable Peeler Set with Straight Peeler and Serrated Peeler, Dishwasher Safe Classic Euro Fruit Peeler for Kitchen, Potato Peelers for Peeling veggie and Food, Green",LPS11-G,7,1,0.01%,0.13%,8,1,0.01%,0.09%,100.00%,0.00%,1,0,14.29%,0.00%,US$9.99,US$0.00,1,0
B0CTM73JC8,B0CD3XQHCP,"linoroso Santoku Knife 7 inch Meat Kitchen Chef Knife with Premium Gift Box, Vegetables Knives High Carbon Stainless Steel Sharp Knife with Ergonomic Green Handle, Christmas Gifts for Women and Men",PCF17G,41,1,0.09%,0.13%,44,1,0.07%,0.09%,100.00%,0.00%,1,0,2.44%,0.00%,US$23.37,US$0.00,1,0
B0CDP6TXQ1,B0CDP6TXQ1,"linoroso 16 Inch Magnetic Knife Holder for Wall, Acacia Wood Knife Magnetic Strip Use as Knife Bar, Knife Holder, Magnetic Tool Organizer, Kitchen Utensil Organizer & Home Organizer",MKS10,40,0,0.09%,0.00%,66,0,0.10%,0.00%,91.67%,0.00%,1,0,2.50%,0.00%,US$25.95,US$0.00,1,0
B0DW8TH6SK,B0CG98W19C,"linoroso Pop Airtight Food Storage Containers with Date Recording Lids, Stackable Plastic Storage Containers Set of 5, Dry Cereal Container Set for Pantry Countertop Fridge Organization",LAC11,53,0,0.11%,0.00%,63,0,0.10%,0.00%,98.15%,0.00%,1,0,1.89%,0.00%,US$44.95,US$0.00,1,0
B0CMXFK27D,B0CMXFK27D,"linoroso Magnetic Knife Holder, Heavy Duty Aluminum Magnetic Knife Holder for Wall Use as Knife Bar, Knife Holder, Magnetic Tool, Kitchen Utensil & Home Organizer, 17.3 Inch",MKS21,20,1,0.04%,0.13%,24,1,0.04%,0.09%,100.00%,100.00%,1,1,5.00%,100.00%,US$21.95,US$21.95,1,1
B0CP38BJW3,B0CP38BJW3,"linoroso 6.5 inch Santoku Knife Gourmet Series, Meat Kitchen Chef Knife Vegetables Knives High Carbon Stainless Steel Sharp Knife for Cutting, Chopping Vegetables, and Meat",TPF17,5,0,0.01%,0.00%,17,0,0.03%,0.00%,40.00%,0.00%,1,0,20.00%,0.00%,US$28.99,US$0.00,1,0
B0D91YLTXG,B0D5D2HV6Y,"Linoroso Magnetic Bottle Opener Pop Can Opener for Refrigerator, Beer Bottle Opener and Soda Can Opener with Cap Catcher, Portable Beer Opener for Bartender, Home, Restaurant, Bar Tools, 4 Pack, Black",LON11-B,19,3,0.04%,0.38%,27,3,0.04%,0.28%,100.00%,100.00%,1,0,5.26%,0.00%,US$13.99,US$0.00,1,0
B0DSSL6M7S,B0DCG2WVKF,"linoroso Silverware Drawer Organizer with Kitchen Drawer Organizer, Cutlery Drawer Organizer Utensil Drawer Organizer for Flatware, Spoon, and Utensils, BPA Free Secure Storage Tray for Kitchen",LKL31,195,4,0.42%,0.50%,206,5,0.32%,0.47%,100.00%,100.00%,1,0,0.51%,0.00%,US$18.99,US$0.00,1,0
